authorCountryOfCitizenship,authorFirstName,authorFullName,authorGender,authorLastName,averageRating,centuryOfPublication,genres,goodreadsUrl,isbn,isbn13,lists,numberOfPages,numberOfRatings,numberOfReviews,numericId,primaryGenre,ratingDistribution,seriesName,seriesUrl,shelves,title,titleId,yearOfPublication
,Alfred,Alfred W. McCoy,,McCoy,4.34,20.0,"['History', 'Politics', 'Nonfiction', 'Cultural > Asia', 'Mystery > Crime', 'Literature > American', 'The United States Of America', 'Crime > True Crime', 'Pseudoscience > Conspiracy Theories', 'Economics']","=HYPERLINK(""https://www.goodreads.com/book/show/152038.The_Politics_of_Heroin"", ""Goodreads URL"")",60129018.0,,,709,522,47,152038,History,,,,,The Politics of Heroin: CIA Complicity in the Global Drug Trade,152038.The_Politics_of_Heroin,1972.0
,Howard,Howard Cruse,,Cruse,4.04,20.0,"['Sequential Art > Graphic Novels', 'Sequential Art > Comics', 'LGBT > Queer', 'Fiction', 'LGBT', 'Historical > Historical Fiction', 'LGBT > Gay', 'Graphic Novels Comics', 'Historical', 'Sequential Art > Comix']","=HYPERLINK(""https://www.goodreads.com/book/show/156703.Stuck_Rubber_Baby"", ""Goodreads URL"")",1401227139.0,,,216,5190,269,156703,Sequential Art > Graphic Novels,,,,,Stuck Rubber Baby,156703.Stuck_Rubber_Baby,1995.0
,Anitra,Anitra Nelson,,Nelson,3.74,,"['Economics', 'Nonfiction', 'Politics', 'Biology > Ecology', 'Philosophy']","=HYPERLINK(""https://www.goodreads.com/book/show/13024117-life-without-money"", ""Goodreads URL"")",745333168.0,,,256,23,1,13024117,Economics,,,,,Life Without Money: Building Fair and Sustainable Economies,13024117-life-without-money,
,Seth,Seth Tobocman,,Tobocman,4.34,20.0,"['Sequential Art > Comics', 'Sequential Art > Graphic Novels', 'Politics', 'Art', 'Nonfiction', 'Social Issues > Activism', 'Social Movements > Social Justice', 'History', 'Graphic Novels Comics']","=HYPERLINK(""https://www.goodreads.com/book/show/103980.You_Don_t_Have_to_Fuck_People_Over_to_Survive"", ""Goodreads URL"")",1849350043.0,,,139,194,19,103980,Sequential Art > Comics,,,,,You Don't Have to Fuck People Over to Survive,103980.You_Don_t_Have_to_Fuck_People_Over_to_Survive,1990.0
,Hephaestus,Hephaestus Books,,Books,5.0,,[],"=HYPERLINK(""https://www.goodreads.com/book/show/12871346-criticism-and-refusal-of-work-including"", ""Goodreads URL"")",,,,276,1,0,12871346,,,,,,"Criticism And Refusal Of Work, including: Bertrand Russell, Herbert Marcuse, Abbie Hoffman, Bob Black, John Zerzan, Paul Lafargue, Ivan Illich, Youth International Party, Raoul Vaneigem, Crimethinc., L. Susan Brown, Wolfi Landstreicher, Tuli Kupferberg",12871346-criticism-and-refusal-of-work-including,
,George,George Konrád,,Konrád,3.71,20.0,"['Fiction', 'Literature', 'Roman']","=HYPERLINK(""https://www.goodreads.com/book/show/1052909.The_Loser"", ""Goodreads URL"")",3518395394.0,,,320,90,6,1052909,Fiction,,,,,The Loser,1052909.The_Loser,1978.0
,J.A.,J.A. Baker,,Baker,4.17,20.0,"['Nonfiction', 'Environment > Nature', 'Science', 'Animals > Birds', 'Animals', 'Science > Natural History', 'Classics', 'Science > Biology', 'Poetry', 'Environment']","=HYPERLINK(""https://www.goodreads.com/book/show/1071726.The_Peregrine"", ""Goodreads URL"")",8216215.0,,,191,3495,569,1071726,Nonfiction,,De Vogelserie #3,https://www.goodreads.com/series/334089-de-vogelserie,,The Peregrine,1071726.The_Peregrine,1967.0
,Derf,Derf Backderf,,Backderf,3.93,,"['Sequential Art > Graphic Novels', 'Nonfiction', 'Crime > True Crime', 'Sequential Art > Comics', 'Autobiography > Memoir', 'Biography', 'Mystery > Crime', 'Graphic Novels Comics', 'Adult', 'Horror']","=HYPERLINK(""https://www.goodreads.com/book/show/12959045-my-friend-dahmer"", ""Goodreads URL"")",1419727559.0,,,224,26656,3559,12959045,Sequential Art > Graphic Novels,,,,,My Friend Dahmer,12959045-my-friend-dahmer,
,Jack,Jack Daniels,,Daniels,4.25,20.0,"['Nonfiction', 'Sports > Sports', 'Sports > Fitness', 'Health', 'Reference', 'Science', 'Self Help', 'Self Help > Personal Development', 'Nature > Outdoors', 'Adventure']","=HYPERLINK(""https://www.goodreads.com/book/show/112152.Daniels_Running_Formula"", ""Goodreads URL"")",1450431836.0,,,304,3862,216,112152,Nonfiction,,,,,Daniels' Running Formula,112152.Daniels_Running_Formula,1998.0
,Naim,Naim Kattan,,Kattan,0.0,,[],"=HYPERLINK(""https://www.goodreads.com/book/show/13315492-neighbour-and-other-stories"", ""Goodreads URL"")",,,,183,0,0,13315492,,,,,,Neighbour and Other Stories,13315492-neighbour-and-other-stories,
,G.M.,G.M. Holder,,Holder,4.75,21.0,[],"=HYPERLINK(""https://www.goodreads.com/book/show/11867886-the-introduction-to-the-world"", ""Goodreads URL"")",,,,212,4,2,11867886,,,,,,The Introduction to the World,11867886-the-introduction-to-the-world,2010.0
,Fyodor,Fyodor Dostoevsky,,Dostoevsky,4.19,19.0,"['Classics', 'Fiction', 'Cultural > Russia', 'Literature > Russian Literature', 'Literature', 'Novels', 'Philosophy', 'Literature > 19th Century', 'Classics > Classic Literature', 'Historical > Historical Fiction']","=HYPERLINK(""https://www.goodreads.com/book/show/12505.The_Idiot"", ""Goodreads URL"")",375702245.0,,,667,150896,6240,12505,Classics,,,,,The Idiot,12505.The_Idiot,1869.0
,Steve,Steve Lohr,,Lohr,3.7,21.0,"['History', 'Science > Technology', 'Science', 'Nonfiction', 'Computer Science > Computers', 'Computer Science > Programming', 'Science > Computer Science', 'Computer Science > Software', 'Science > Engineering']","=HYPERLINK(""https://www.goodreads.com/book/show/1119327.Go_To"", ""Goodreads URL"")",465042252.0,,,272,141,8,1119327,History,,,,,"Go To: The Story of the Math Majors, Bridge Players, Engineers, Chess Wizards, Maverick Scientists, and Iconoclasts-- the Programmers Who Created the Software Revolution",1119327.Go_To,2001.0
